database_name,query,difficulty,uuid,query_short,query_business,query_technical
sakila,"Показать 20 последних клиентских платежей на сумму более 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав их по дате от новых к старым.",easy,db5f1c75-e149-4210-826f-6e1dccf7725d,"Скрипт для 20 последних платежей клиентов на сумму более 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортированных по дате от новых к старым.","Скрипт для формирования отчёта по последним платежам клиентов за аренду с отбором операций на сумму более 8.00, чтобы контролировать наиболее значимые поступления в кассовом потоке и связать их с клиентом, сотрудником и датой платежа.","Скрипт для отбора 20 последних строк из pay по p06 с условием p05 > 8.00, с возвратом p01, p02, p03, p05 и p06, упорядоченных по p06 по убыванию."
sakila,"Показать 10 самых крупных платежей клиентов с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав по сумме по убыванию.",easy,79e12197-f44c-43ea-9c97-67f51a473bd7,"Скрипт для 10 самых крупных платежей клиентов с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортированных по сумме по убыванию.","Скрипт для отчёта по платежам клиентов за аренду, позволяющий выделить 10 крупнейших платежей с привязкой к идентификатору платежа, клиенту, сумме и дате операции для контроля денежных поступлений и анализа наиболее значимых оплат в прокате.","Скрипт для выборки из pay 10 записей с наибольшими значениями p05, с возвратом p01, p02, p05 и p06 и сортировкой по p05 по убыванию."
sakila,"Показать идентификатор платежа, идентификатор клиента, идентификатор сотрудника, сумму и дату платежа для платежей на сумму больше 8.00, отсортировав их по сумме по убыванию и ограничив результат 10 записями.",easy,98792c89-cae4-4298-b795-c79e2370f712,"Скрипт для платежей на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой, отсортированных по сумме по убыванию и ограниченных 10 записями.","Скрипт для отбора платежей клиентов за аренду с суммой более 8.00, чтобы выделить наиболее крупные операции в отчёте по платежам и связать их с клиентом, сотрудником, принявшим оплату, а также датой и суммой платежа; результаты упорядочиваются по величине платежа по убыванию и ограничиваются 10 записями.","Скрипт для отбора записей из pay по условию p05 > 8.00 с выводом p01, p02, p03, p05 и p06, упорядоченных по p05 по убыванию и ограниченных 10 строками."
sakila,"Показать 20 последних платежных операций на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав их от самых новых к старым.",easy,3080029d-8559-4016-b50b-8199996248ce,"Скрипт для 20 последних платежей на сумму больше 8.00 с идентификатором платёжа, клиента, сотрудника, суммой и датой платежа.","Скрипт для формирования оперативного отчёта по платежам клиентов за аренду: отбираются последние платежные операции с суммой выше 8.00, чтобы контролировать крупные поступления, связанные с клиентами, сотрудниками, принявшими платёж, и датой и временем оплаты.","Скрипт для выборки 20 последних записей из pay с полями p01, p02, p03, p05 и p06, с условием p05 > 8.00, упорядоченных по p06 по убыванию."
sakila,"Показать 20 последних платежей клиентов на сумму больше 9.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав их по дате платежа от новых к старым.",easy,982ba9e1-cfce-4cfc-bed5-750ba378ed8a,"Скрипт для 20 последних платежей клиентов на сумму больше 9.00 с идентификатором платежа, клиента, сотрудника, суммы и даты платежа.","Скрипт для отчёта по последним платежам клиентов в системе проката: позволяет отобрать наиболее свежие операции с суммой свыше 9.00 и использовать их для контроля денежных поступлений, связки платежей с клиентами и сотрудниками, а также анализа даты и времени оплаты в хронологии от новых к старым.","Скрипт для отбора 20 последних записей из pay по p06, с фильтром p05 > 9.00 и полями p01, p02, p03, p05, p06, упорядоченных по p06 по убыванию."
sakila,"Показать последние 20 платежей с суммой больше 9.00, указав идентификатор платежа, клиента, сотрудника, сумму и дату платежа, отсортированные по дате платежа от новых к старым.",easy,59e5d8aa-300d-4a1a-9629-e0fe566459b7,"Скрипт для последних 20 платежей с суммой больше 9.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, по дате платежа от новых к старым.","Скрипт для отчёта по последним платежам клиентов проката, которые превышают 9.00, с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, чтобы контролировать свежие поступления и анализировать наиболее значимые операции в платёжном потоке, отсортированные по дате платежа от новых к старым.","Скрипт для отбора из pay последних 20 записей платежей с p05 больше 9.00, с выводом p01, p02, p03, p05 и p06 и сортировкой по p06 по убыванию."
sakila,"Показать 20 последних платежей клиентов на сумму больше 8.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав по дате платежа по убыванию.",easy,5f1d9bf6-a244-498b-853b-cae76b3d16f2,"Скрипт для последних 20 платежей клиентов на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммы и даты платежа, по дате платежа по убыванию.","Скрипт для отбора последних платежей клиентов с контролем крупных сумм в системе проката: формируется перечень операций оплаты за аренду на сумму выше 8.00 с идентификатором платежа, клиентом, сотрудником, суммой и датой платежа, чтобы использовать его для оперативного анализа кассовых поступлений и проверки недавних финансовых операций по датам проведения.","Скрипт для отбора 20 последних строк из pay по p06 с условиями p05 > 8.00, с выводом p01, p02, p03, p05 и p06, упорядоченных по p06 по убыванию."
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для транзакций на сумму больше 9.00, отсортированных по сумме по убыванию, ограничив результат 10 записями.",easy,824f809c-a611-41d7-ad15-4bfaad97d1cb,"Скрипт для отбора платежей клиентов с суммой больше 9.00, с сортировкой по сумме по убыванию и ограничением 10 записей.","Скрипт для отбора платежей клиентов за аренду с суммой свыше 9.00, чтобы выделить наиболее крупные транзакции в отчёте по оплатам, с упорядочиванием по сумме по убыванию и ограничением выдачи десятью записями.","Скрипт для отбора из pay полей p01, p02, p05 и p06 по условию p05 > 9.00, с сортировкой по p05 по убыванию и ограничением результата 10 строками."
sakila,"Показать 20 последних платежей клиентов с суммой больше 9.00, указав идентификатор платежа, клиента, сотрудника, сумму и дату платежа, отсортировав их по дате платежа от новых к старым.",easy,56190d33-c39e-4bcf-8560-7f53438d3dcb,"Скрипт для 20 последних платежей клиентов с суммой больше 9.00, с идентификатором платежа, клиента, сотрудника и датой платежа.","Скрипт для отбора последних платежей клиентов в прокате: в отчёт включаются платежи на сумму свыше 9.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, чтобы оценивать наиболее свежие операции по оплате аренды и контролировать денежные поступления.","Скрипт для отбора 20 последних строк из pay по p06 с условием p05 > 9.00, с выводом p01, p02, p03, p05 и p06, упорядоченных по p06 по убыванию."
sakila,"Показать 20 последних платежей клиентов на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по дате платежа по убыванию.",easy,adb8be8e-6d37-4b7e-bc1e-511e4bb2437a,"Скрипт для 20 последних платежей клиентов на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, по дате платежа по убыванию","Скрипт для отбора последних платежей клиентов по операциям проката на суммы свыше 8.00, чтобы отследить недавние денежные поступления с указанием идентификатора платежа, клиента и сотрудника, а также суммы и даты платежа в порядке убывания по времени совершения.","Скрипт для отбора 20 последних записей из pay по p06 с фильтром p05 > 8.00, с выводом p01, p02, p03, p05 и p06 и сортировкой по p06 по убыванию."
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для платежей на сумму выше 8.00, отсортировав их по сумме по убыванию и ограничив результат 20 записями.",easy,54d06772-c15c-4ff4-95dc-8c127270eca4,Скрипт для отбора платежей на сумму выше 8.00 с сортировкой по сумме по убыванию и ограничением 20 записей.,"Скрипт для отбора платежей клиентов за аренду с суммой свыше 8.00, чтобы выделить наиболее значимые операции по оплате и использовать их в контроле расчётов; в результат включаются идентификатор платежа, идентификатор клиента, сумма и дата платежа, а список упорядочивается по сумме по убыванию и ограничивается 20 записями.","Скрипт для выборки из pay полей p01, p02, p05 и p06 по записям с p05 > 8.00, с упорядочиванием по p05 по убыванию и ограничением результата 20 строками."
sakila,"Показать последние 20 платежей клиентов на сумму больше 8.00, отсортированные по дате платежа от новых к старым, с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа.",easy,9536c50d-7d7e-4214-a08b-5739fbf47a3d,"Скрипт для последних 20 платежей клиентов на сумму больше 8.00, с сортировкой по дате платежа от новых к старым.","Скрипт для отчёта по последним платежам клиентов за аренду: отбор операций на сумму свыше 8.00 с сортировкой по дате и времени платежа от новых к старым, чтобы контролировать свежие поступления, видеть клиента и сотрудника, принявшего платёж, а также идентификатор платежа, сумму и дату операции.","Скрипт для выборки из pay последних 20 платежей с p05 > 8.00, с полями p01, p02, p03, p05 и p06, упорядоченных по p06 по убыванию."
sakila,"Показать 20 последних платежей клиентов на сумму больше 8.00 с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, отсортировав по дате платежа от новых к старым.",easy,0ee3ed2a-6a50-41a0-bc46-c1687b8fcd18,"Скрипт для 20 последних платежей клиентов на сумму больше 8.00 с идентификатором платежа, клиента, сотрудника, суммы и даты платежа, отсортированных по дате платежа от новых к старым.","Скрипт для отбора последних платежей клиентов проката, выполненных на сумму свыше 8.00, с указанием идентификатора платежа, клиента, сотрудника, суммы и даты платежа, чтобы получить актуальную картину крупных оплат в порядке от наиболее новых к более ранним.","Скрипт для выборки из pay последних 20 записей с полями p01, p02, p03, p05 и p06, где p05 больше 8.00, с упорядочением по p06 по убыванию."
sakila,"Показать 20 самых крупных платежей клиентов с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав их по сумме по убыванию.",easy,81458735-6b3d-469c-98fc-0934c4bfd524,"Скрипт для 20 самых крупных платежей клиентов с идентификатором платежа, идентификатором клиента, суммой и датой платежа, по убыванию суммы.","Скрипт для отбора 20 самых крупных платежей по клиентам, чтобы в отчёте по оплатам аренды отразить идентификатор платежа, клиента, сумму и дату платежа в порядке убывания суммы.","Скрипт для отбора 20 строк из pay с полями p01, p02, p05 и p06, упорядоченных по p05 по убыванию."
sakila,"Показать последние 20 платежей клиентов на сумму более 8.00, указав идентификатор платежа, идентификатор клиента, сумму и дату платежа, отсортировав по дате платежа от новых к старым.",easy,1e58a7d0-fb6b-46c7-927b-c48f719e9f0c,"Скрипт для последних 20 платежей клиентов на сумму более 8.00 с идентификатором платежа, идентификатором клиента, суммой и датой платежа.","Скрипт для отбора последних платежей клиентов по аренде, отражающий наиболее свежие операции приёма оплаты в прокате фильмов: в отчёт включаются идентификатор платежа, клиент, сумма и дата платежа по операциям на сумму более 8.00, с упорядочением от новых платежей к более ранним.","Скрипт для отбора последних 20 записей из pay с p05 больше 8.00, с возвратом p01, p02, p05 и p06 и сортировкой по p06 по убыванию."
sakila,"Показать 20 крупнейших платежей за июнь 2005 года с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по сумме по убыванию",easy,dd708062-a3f4-4363-bac1-3e619a07ab59,"Скрипт для 20 крупнейших платежей за июнь 2005 года с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, по сумме по убыванию","Скрипт для анализа крупнейших платежей клиентов за июнь 2005 года, чтобы по журналу оплат за аренду выделить самые значимые транзакции и связать сумму и дату платежа с клиентом и сотрудником, принявшим оплату, для контроля денежных поступлений в прокате.","Скрипт для отбора 20 крупнейших записей из pay за июнь 2005 года с полями p01, p02, p03, p05 и p06, с фильтром по p06 на интервал 2005-06, сортировкой по p05 по убыванию и ограничением результата первыми 20 строками."
sakila,"Показать 20 крупнейших платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав по сумме по убыванию.",easy,bfe74843-ebd6-490d-9779-a6c9f52396cc,"Скрипт для 20 крупнейших платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортированных по сумме по убыванию.","Скрипт для отчёта по платежам клиентов за июнь 2005 года, отражающий самые крупные суммы в разрезе платежа, клиента и даты операции, с упорядочением по размеру платежа для контроля денежных поступлений по аренде.","Скрипт для отбора 20 наибольших записей из pay по p05 за июнь 2005 года с выборкой p01, p02, p05 и p06, фильтрацией по p06 и сортировкой по p05 по убыванию."
sakila,"Показать 20 крупнейших платежей за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав их по сумме по убыванию.",easy,e54b25a5-2b79-48a8-b29c-47bd764eac70,"Скрипт для 20 крупнейших платежей за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортированных по сумме по убыванию.","Скрипт для отчёта по платежам клиентов за прокат за июнь 2005 года, который выделяет 20 крупнейших сумм с привязкой к идентификатору платежа, клиенту и дате операции, чтобы использовать эти данные для контроля поступлений и анализа наиболее значимых оплат.","Скрипт для выборки 20 записей из pay по платежам за июнь 2005 года с полями p01, p02, p05 и p06, отсортированных по p05 по убыванию."
sakila,"Показать идентификатор платежа, идентификатор клиента, сумму и дату платежа для 10 самых крупных платежей свыше 8.00, отсортированных по сумме по убыванию.",easy,6b233993-1821-486b-bae6-6736b5c152a5,"Скрипт для 10 самых крупных платежей свыше 8.00 с идентификатором платежа, клиентом, суммой и датой платежа.","Скрипт для отчёта по платежам клиентов за аренду, в котором выделяются самые крупные поступления свыше 8.00 с указанием идентификатора платежа, клиента, суммы и даты платежа, чтобы использовать эти данные для контроля значимых оплат и анализа денежного потока по операциям проката.","Скрипт для отбора из pay полей p01, p02, p05 и p06 по записям с p05 > 8.00, с сортировкой по p05 по убыванию и ограничением результата 10 строками."
sakila,"Показать идентификаторы платежей, клиентов, сотрудников, суммы и даты для платежей на сумму больше 8.00, отсортировав их по сумме по убыванию и ограничив результат 20 операциями.",easy,fede62ca-dc15-4370-9c70-a929528257b4,"Скрипт для платежей на сумму больше 8.00, отсортированных по сумме по убыванию и ограниченных 20 строками.","Скрипт для отбора платежей клиентов за аренду с суммой выше 8.00, чтобы выделить наиболее крупные операции, связанные с принятием платежей сотрудниками и датой проведения платежа; результаты упорядочиваются по сумме по убыванию и ограничиваются 20 записями.","Скрипт для отбора из pay записей с p05 больше 8.00 с возвратом p01, p02, p03, p05 и p06, упорядоченных по p05 по убыванию и ограниченных 20 строками."
sakila,"Показать идентификатор платежа, клиента, сотрудника, сумму и дату платежа для всех платежей на сумму больше 9.00, отсортированных по дате платежа по убыванию, ограничив результат 20 записями.",easy,0a8f6dd8-39f4-44fe-a449-7cd3546530cc,"Скрипт для платежей клиентов на сумму больше 9.00, отсортированных по дате платежа по убыванию, с ограничением 20 записей.","Скрипт для отбора платежей клиентов за аренду с суммой выше 9.00, чтобы получить перечень платежей с идентификатором, клиентом, сотрудником, суммой и датой платежа, отсортированный по времени платежа по убыванию и ограниченный 20 последними записями.","Скрипт для отбора записей из pay по p05 > 9.00 с возвратом p01, p02, p03, p05 и p06, упорядоченных по p06 по убыванию и ограниченных 20 строками."
sakila,"Показать 10 самых крупных платежей клиентов за июнь 2005 года с идентификатором платежа, клиента, сотрудника, суммой и датой платежа, отсортировав по сумме по убыванию.",easy,add1f6d1-a6a3-49ce-ba42-4784a1123ebd,"Скрипт для 10 самых крупных платежей клиентов за июнь 2005 года с id платежа, клиента, сотрудника, суммой и датой платежа, по сумме по убыванию.","Скрипт для отбора десяти крупнейших платежей клиентов за июнь 2005 года, чтобы получить срез денежного потока по оплате аренды с указанием платежа, клиента, сотрудника, суммы и даты операции и использовать его для контроля наиболее значимых поступлений в прокате.","Скрипт для отбора 10 платежей из pay за июнь 2005 года с полями p01, p02, p03, p05 и p06, с сортировкой по p05 по убыванию."
sakila,"Показать 20 самых крупных платежей клиентов за июнь 2005 года с идентификатором платежа, идентификатором клиента, суммой и датой платежа, отсортировав их по сумме по убыванию.",easy,860f2a0b-68d8-4602-a89b-15d085c2c12b,"Скрипт для 20 самых крупных платежей клиентов за июнь 2005 года по сумме с идентификатором платежа, идентификатором клиента и датой платежа.","Скрипт для отчёта по наиболее крупным платежам клиентов за июнь 2005 года, отражающий сумму и дату каждого платежа вместе с идентификатором клиента и платежа, чтобы оценить денежный поток по операциям проката и выделить наиболее значимые поступления в этом периоде.","Скрипт для отбора 20 записей из pay по платежам за июнь 2005 года: используются поля p01, p02, p05 и p06, фильтрация по диапазону дат p06 внутри 2005-06, сортировка по p05 по убыванию и ограничение результата двадцатью строками."
sakila,"Показать последние 20 платежей с суммой больше 9.00, включая идентификатор платежа, клиента, сотрудника, сумму и дату платежа, отсортировав их от самых новых к старым.",easy,9477ef72-9342-4ead-85a9-077ffe8d96e8,"Скрипт для последних 20 платежей с суммой больше 9.00, с идентификатором платежа, клиента, сотрудника и датой платежа, по убыванию даты.","Скрипт для отбора последних платежей клиентов по операциям проката с суммой свыше 9.00, чтобы в отчёте по оплатам видеть идентификатор платежа, клиента, сотрудника, сумму и дату платежа в порядке от самых новых записей к более ранним.","Скрипт для отбора из pay последних 20 записей с p05 > 9.00, с выборкой p01, p02, p03, p05 и p06 и сортировкой по p06 по убыванию."
